Date/Time(US/Pacific),DO%(%),pH(pH),Salinity(PSU),Water Temp(C)
5/7/2026 9:00,110.4,8,26.7,14.1
5/7/2026 10:00,109.4,7.9,26.9,14
5/7/2026 11:00,115.3,8,25.2,14.9
5/7/2026 12:00,120.8,8,25.7,14.9
5/7/2026 13:00,124.1,8,26,14.9
5/7/2026 14:00,121.9,8,26,14.8
5/7/2026 15:00,121,8,26.4,14.4
5/7/2026 16:00,120.5,8,26.5,14.3
5/7/2026 17:00,119.8,8,26.9,14
5/7/2026 18:00,119.6,8,26.9,14
5/7/2026 19:00,118.2,8,26.7,14.2
5/7/2026 20:00,115.5,8,26.7,14
5/7/2026 21:00,113,8,26.9,13.9
5/7/2026 22:00,119.1,8,27,13.7
5/7/2026 23:00,116.3,8,27,13.8
5/8/2026 0:00,114.3,8,26.9,14
5/8/2026 1:00,113.2,8,27.5,13.4
5/8/2026 2:00,113.6,8,28.2,13.1
5/8/2026 3:00,112.6,8,27.7,13.3
5/8/2026 4:00,109.7,7.9,26.8,13.8
5/8/2026 5:00,110.9,7.9,28.4,12.8
5/8/2026 6:00,114.4,8,28,13.1
5/8/2026 7:00,112.7,8,27.2,13.6
5/8/2026 8:00,111.5,8,27.4,13.5
5/8/2026 9:00,108.4,7.9,25.3,14.7
5/8/2026 10:00,106.2,8,25.3,14.6
5/8/2026 11:00,106.6,8,25.5,14.4
5/8/2026 12:00,112.7,8,25.7,14.5
5/8/2026 13:00,114.1,8,25.8,14.6
5/8/2026 14:00,114.6,8,25.7,14.7
5/8/2026 15:00,114,8,25.6,14.8
5/8/2026 16:00,114.6,8,25.7,14.8
5/8/2026 17:00,114.8,8,26.3,14.4
5/8/2026 18:00,115.9,8,25.9,14.6
5/8/2026 19:00,114.5,8,25.8,14.6
5/8/2026 20:00,114.4,8,26.5,14.2
5/8/2026 21:00,111.7,8,25.9,14.4
5/8/2026 22:00,111.1,8,26.3,14.2
5/8/2026 23:00,111.8,8,26.3,14.2
5/9/2026 0:00,115.3,8,26.4,14.1
5/9/2026 1:00,112.9,8,26.1,14.4
5/9/2026 2:00,113,8,26.2,14.2
5/9/2026 3:00,107.4,8,26.5,14
5/9/2026 4:00,109.1,8,26.5,13.9
5/9/2026 5:00,102.8,7.9,27,13.7
5/9/2026 6:00,105.3,7.9,26.9,13.8
5/9/2026 7:00,107.9,7.9,26.2,14.1
5/9/2026 8:00,106,7.9,26.4,14
5/9/2026 9:00,109.8,8,25.8,14.3
5/9/2026 10:00,109.8,8,25.3,14.5
5/9/2026 11:00,114.2,8,25,14.6
5/9/2026 12:00,115.4,8,24.6,14.9
5/9/2026 13:00,118.8,8,24.9,14.8
5/9/2026 14:00,117.5,8,25.2,14.6
5/9/2026 15:00,120.6,8,25,14.8
5/9/2026 16:00,120.5,8,25.3,14.7
5/9/2026 17:00,116.6,8,25.8,14.4
5/9/2026 18:00,122.7,8,26.8,14.1
5/9/2026 19:00,118,8,26.2,14.2
5/9/2026 20:00,113.4,8,26.2,14.2
5/9/2026 21:00,113.2,8,26.7,13.8
5/9/2026 22:00,111.6,8,25.8,14.3
5/9/2026 23:00,107,7.9,25.2,14.6
5/10/2026 0:00,116.6,8,27.1,13.8
5/10/2026 1:00,116.9,8,27.4,13.9
5/10/2026 2:00,114.8,8,27.1,13.5
5/10/2026 3:00,117,8,26.8,14
5/10/2026 4:00,116.8,8,27.5,13.7
5/10/2026 5:00,116.2,8,28.8,13.1
5/10/2026 6:00,111.4,7.9,27.1,13.7
5/10/2026 7:00,111.3,8,26.5,13.8
5/10/2026 8:00,109,8,26,14
5/10/2026 9:00,108.7,7.9,25.5,14.2
5/10/2026 10:00,116.6,8,26.6,13.8
5/10/2026 11:00,116.8,8,25.9,14.1
5/10/2026 12:00,114.9,8,25.3,14.4
5/10/2026 13:00,115.5,8,25,14.5
5/10/2026 14:00,113.2,8,24.8,14.6
5/10/2026 15:00,111.8,8,24.7,14.8
5/10/2026 16:00,114,8,24.8,14.9
5/10/2026 17:00,115.7,8,25.1,14.8
5/10/2026 18:00,112.9,8,24.7,15
5/10/2026 19:00,116.2,8,25.5,14.5
5/10/2026 20:00,116,8,25.9,14.3
5/10/2026 21:00,113.7,8,25.7,14.4
5/10/2026 22:00,115.2,8,26.3,14.2
5/10/2026 23:00,112.3,8,25.9,14.4
5/11/2026 0:00,110.8,8,26,14.3
5/11/2026 1:00,109.3,8,26,14.4
5/11/2026 2:00,114.2,8,26.2,14.4
5/11/2026 3:00,113.1,8,26,14.5
5/11/2026 4:00,112.2,8,26,14.3
5/11/2026 5:00,117.4,8,26.8,14
5/11/2026 6:00,115.4,8,27,14
5/11/2026 7:00,109.4,7.9,26,14.3
5/11/2026 8:00,108,8,25.6,14.3
5/11/2026 9:00,113.1,8,26.3,14.3
5/11/2026 10:00,109.5,7.9,25.6,14.5
5/11/2026 11:00,113.4,8,25.6,14.7
5/11/2026 12:00,114.8,8,25.3,14.8
5/11/2026 13:00,116.6,8,25.2,15
5/11/2026 14:00,120.6,8,25.1,15.2
5/11/2026 15:00,114.4,8,24.9,15.1
5/11/2026 16:00,115.8,8,25,15.1
5/11/2026 17:00,116.2,8,25.2,15.2
5/11/2026 18:00,118.4,8,25.9,14.6
5/11/2026 19:00,114.5,8,25.7,14.8
5/11/2026 20:00,113,8,25.7,14.7
5/11/2026 21:00,110.3,8,26.4,14.4
5/11/2026 22:00,116.2,8,27.7,13.8
5/11/2026 23:00,112.4,8,26.6,14.4
5/12/2026 0:00,116.7,8,26.4,14.3
5/12/2026 1:00,104,7.9,25.2,15
5/12/2026 2:00,105.4,7.9,24.5,15.1
5/12/2026 3:00,100.9,7.9,24.4,15
5/12/2026 4:00,106.5,7.9,24.7,15.1
5/12/2026 5:00,108.1,8,24.9,15
5/12/2026 6:00,108.3,8,24.8,14.8
5/12/2026 7:00,102.3,7.9,24.4,14.8
5/12/2026 8:00,108.1,8,24.4,14.8
5/12/2026 9:00,102.5,7.9,23.7,14.9
5/12/2026 10:00,108.6,7.9,24.4,14.8
5/12/2026 11:00,107.5,7.9,24.2,14.9
5/12/2026 12:00,111.1,8,23.9,15.1
5/12/2026 13:00,110.2,8,23.9,15
5/12/2026 14:00,118.3,8,26.4,14.4
5/12/2026 15:00,109.4,7.9,23.4,15.7
5/12/2026 16:00,116.1,8,24.4,15.4
5/12/2026 17:00,113.4,8,23.8,15.9
5/12/2026 18:00,115.6,8,24.8,15.2
5/12/2026 19:00,113.7,8,24.9,14.9
5/12/2026 20:00,125.7,8,28.1,13.7
5/12/2026 21:00,122.9,8,28.2,13.3
5/12/2026 22:00,126.6,8,28.9,13.2
5/12/2026 23:00,124.6,8,28.2,13.5
5/13/2026 0:00,124.6,8,28.4,13.4
5/13/2026 1:00,118.4,8,28.3,13.5
5/13/2026 2:00,111,7.9,28.2,13.5
5/13/2026 3:00,110.7,7.9,27.3,14.2
5/13/2026 4:00,111.2,8,25.1,14.8
5/13/2026 5:00,109.3,8,28.3,13.7
5/13/2026 6:00,124.2,8,29.4,12.8
5/13/2026 7:00,124,8,28.7,13.2
5/13/2026 8:00,120.2,8,29.4,12.9
5/13/2026 9:00,122.9,8,30,12.3
5/13/2026 10:00,129.3,8,29.9,12.5
5/13/2026 11:00,135,8.1,30.2,12.1
5/13/2026 12:00,113.8,8,25.5,14.6
5/13/2026 13:00,124.8,8,27.1,13.6
5/13/2026 14:00,114.9,8,25.2,14.9
5/13/2026 15:00,116.7,8,25.6,14.8
5/13/2026 16:00,117.4,8,25.9,14.7
5/13/2026 17:00,121.2,8,26.7,14.3
5/13/2026 18:00,119.9,8,27,14.2
5/13/2026 19:00,121.2,8,27.4,14.1
5/13/2026 20:00,122.1,8,28.1,13.7
5/13/2026 21:00,124.4,8,28.7,13.4
5/13/2026 22:00,124,8,28.4,13.5
5/13/2026 23:00,117.4,8,27.4,14.1
5/14/2026 0:00,119.9,8,27.9,13.8
5/14/2026 1:00,117.7,8,27.9,13.9
5/14/2026 2:00,116.6,8,27.9,13.9
5/14/2026 3:00,111.5,8,26.7,14.4
5/14/2026 4:00,113.5,8,26.7,14.5
5/14/2026 5:00,102.6,7.9,26.5,14.5
5/14/2026 6:00,106.7,8,26.3,14.6
5/14/2026 7:00,108.7,8,26.6,14.5
5/14/2026 8:00,111.3,8,26.8,14.6
5/14/2026 9:00,112.4,8.1,27.3,14.5
5/14/2026 10:00,114.5,8.1,27.2,14.6
5/14/2026 11:00,116.1,8.1,27.4,14.5
5/14/2026 12:00,118,8.1,27.5,14.5
5/14/2026 13:00,116.2,8.1,27.2,14.6
5/14/2026 14:00,114.7,8,27,14.6
5/14/2026 15:00,114.4,8,26.9,14.5
5/14/2026 16:00,114.5,8,26.8,14.7
5/14/2026 17:00,116.4,8.1,27.3,14.6
5/14/2026 18:00,116.2,8.1,27.2,14.6
5/14/2026 19:00,115.1,8.1,27.4,14.5
5/14/2026 20:00,112.2,8,27.7,14.4
5/14/2026 21:00,109.9,8,27.5,14.5
5/14/2026 22:00,113.6,8,27.7,14.4
5/14/2026 23:00,107.3,8,27.5,14.4
5/15/2026 0:00,109.8,8,27.4,14.5
5/15/2026 1:00,105.5,8,27.7,14.4
5/15/2026 2:00,107.9,8,27,14.6
5/15/2026 3:00,107.1,8,26.6,14.6
5/15/2026 4:00,111.1,8,26.7,14.6
5/15/2026 5:00,109.6,8,26.7,14.5
5/15/2026 6:00,104.2,8,25.5,14.6
5/15/2026 7:00,106.5,8,26,14.6
5/15/2026 8:00,107.4,8,26.6,14.5
5/15/2026 9:00,109.2,8,26.6,14.4
5/15/2026 10:00,106.8,8,26.1,14.3
5/15/2026 11:00,110.1,8,26.8,14.4
5/15/2026 12:00,110.5,8,27,14.3
5/15/2026 13:00,111.8,8,26.8,14.4
5/15/2026 14:00,113.3,8,27.2,14.3
5/15/2026 15:00,109.4,8,26.6,14.5
5/15/2026 16:00,116.5,8,26.7,14.5
5/15/2026 17:00,115.8,8.1,26.4,14.5
5/15/2026 18:00,114.2,8,26.3,14.5
5/15/2026 19:00,112.8,8,26.9,14.5
5/15/2026 20:00,115.1,8,27.1,14.4
5/15/2026 21:00,110.8,8,27.1,14.3
5/15/2026 22:00,105.4,8,27.1,14.2
5/15/2026 23:00,109.7,8,27.3,14.1
5/16/2026 0:00,109,8,27.5,14.1
5/16/2026 1:00,107.5,8,27.2,14.2
5/16/2026 2:00,100.5,7.9,27.2,14.2
5/16/2026 3:00,104.6,8,26.7,14.2
5/16/2026 4:00,95.9,7.9,25.6,14.2
5/16/2026 5:00,98.6,7.9,24.3,13.9
5/16/2026 6:00,102.5,8,23.7,14.1
5/16/2026 7:00,103.2,8,24.2,13.9
5/16/2026 8:00,102.7,8,23.9,13.6
5/16/2026 9:00,103.5,8,24.2,13.7
5/16/2026 10:00,108.2,8,24.6,13.9
5/16/2026 11:00,108.6,8,24.9,14.1
5/16/2026 12:00,111.1,8,25.5,14.2
5/16/2026 13:00,118.8,8.1,26.4,14.4
5/16/2026 14:00,118.9,8.1,26.9,14.4
5/16/2026 15:00,124.3,8.1,27.8,14.1
5/16/2026 16:00,121.1,8.1,27.1,14.2
5/16/2026 17:00,122,8.1,27,14.3
5/16/2026 18:00,112.5,8,25.1,14.5
5/16/2026 19:00,116.2,8,26.6,14.3
5/16/2026 20:00,112.8,8,26.4,14.4
5/16/2026 21:00,122.8,8,28.5,13.5
5/16/2026 22:00,120,8,27.7,13.6
5/16/2026 23:00,114.4,8,25.3,13.8
5/17/2026 0:00,119.4,8,27.4,13.6
5/17/2026 1:00,115.2,8,27.2,13.9
5/17/2026 2:00,110.6,8,26.5,14.1
5/17/2026 3:00,111.8,8,26.1,14.3
5/17/2026 4:00,109.4,8,26,14.3
5/17/2026 5:00,98.6,7.9,24.1,14
5/17/2026 6:00,101.1,8,23.5,13.8
5/17/2026 7:00,99.9,7.9,22.8,13.7
5/17/2026 8:00,100.2,7.9,22.7,13.5
5/17/2026 9:00,101.6,8,22.3,13.3
5/17/2026 10:00,104.9,8,22.4,13.7
5/17/2026 11:00,109.9,8,22.3,13.9
5/17/2026 12:00,108.2,8,23,13.9
5/17/2026 13:00,117.4,8,25.5,14.4
5/17/2026 14:00,129.9,8.1,27.7,14.2
5/17/2026 15:00,129.6,8.1,27.8,14.1
5/17/2026 16:00,132.8,8.1,28.3,13.9
5/17/2026 17:00,133.2,8.1,28.5,13.8
5/17/2026 18:00,117.7,8,25,14.5
5/17/2026 19:00,124.8,8.1,27.3,14
5/17/2026 20:00,123,8.1,27.3,14
5/17/2026 21:00,124.6,8,28.8,13.4
5/17/2026 22:00,127.6,8,29.7,12.8
5/17/2026 23:00,128.7,8.1,29,13.1
5/18/2026 0:00,124.8,8,28.9,13.1
5/18/2026 1:00,118.9,8,28.1,13.8
5/18/2026 2:00,120.2,8,27.6,14.1
5/18/2026 3:00,118.4,8,27.6,14.2
5/18/2026 4:00,119,8,27.8,14.1
5/18/2026 5:00,113.8,8,27,14.5
5/18/2026 6:00,107,8,23.9,14.3
5/18/2026 7:00,106.5,8,24.1,14.1
5/18/2026 8:00,101.9,8,23.2,13.9
5/18/2026 9:00,106.8,8,23.8,14.3
5/18/2026 10:00,109.6,8,23.8,14.6
5/18/2026 11:00,111.5,8,23.7,14.7
5/18/2026 12:00,111.3,8,24,14.5
5/18/2026 13:00,126.5,8.1,27.1,14.3
5/18/2026 14:00,131.8,8.1,28.1,14.1
5/18/2026 15:00,132.8,8.1,27.8,14.3
5/18/2026 16:00,137.7,8.1,29.2,13.4
5/18/2026 17:00,136.8,8.1,29.5,13.1
5/18/2026 18:00,125.5,8.1,27.6,14
5/18/2026 19:00,121,8.1,26.4,14.3
5/18/2026 20:00,121.8,8.1,26.8,14.2
5/18/2026 21:00,122.2,8,28.1,13.9
5/18/2026 22:00,126.4,8.1,28.6,13.6
5/18/2026 23:00,128.1,8.1,28.6,13.5
5/19/2026 0:00,124.6,8.1,28.5,13.6
5/19/2026 1:00,125.5,8,29.4,13.1
5/19/2026 2:00,128.6,8,30,12.5
5/19/2026 3:00,121.5,8,27.6,13.9
5/19/2026 4:00,123.4,8,28,13.8
5/19/2026 5:00,114.8,8,27.7,13.9
5/19/2026 6:00,110.8,8,27.6,14
5/19/2026 7:00,100.6,7.9,25.9,14.5
5/19/2026 8:00,107.3,8,25.8,14.6
5/19/2026 9:00,110.2,8,25.1,14.8
5/19/2026 10:00,113,8,24.8,15
5/19/2026 11:00,113.1,8,25.1,15.1
5/19/2026 12:00,117.8,8,25.3,15.2
5/19/2026 13:00,120,8,25.9,14.9
5/19/2026 14:00,122.4,8.1,26.3,14.9
5/19/2026 15:00,127.3,8.1,27.4,14.3
5/19/2026 16:00,131.3,8.1,27.8,14.2
5/19/2026 17:00,132.5,8.1,28.6,13.6
5/19/2026 18:00,125.5,8.1,27.4,14.3
5/19/2026 19:00,127.9,8.1,28,13.8
5/19/2026 20:00,118.6,8,26.4,14.6
5/19/2026 21:00,128.7,8.1,28.3,13.8
5/19/2026 22:00,127.4,8,28.7,13.4
5/19/2026 23:00,134,8.1,30.1,12.2
5/20/2026 0:00,126.7,8,29.4,12.9
5/20/2026 1:00,131.5,8,30.7,11.6
5/20/2026 2:00,128.5,8,30.6,11.6
5/20/2026 3:00,130.7,8,30.4,11.8
5/20/2026 4:00,126.5,8,28.9,12.9
5/20/2026 5:00,128.4,8,29.2,12.7
5/20/2026 6:00,124.9,8,28.4,13.4
5/20/2026 7:00,117.5,8,27.2,14
5/20/2026 8:00,112.8,8,25.4,14.7
5/20/2026 9:00,114.5,8,25.9,14.7
5/20/2026 10:00,118.5,8,25.6,14.9
5/20/2026 11:00,116.8,8,25,15.3
5/20/2026 12:00,123.2,8,26.3,14.7
5/20/2026 13:00,120.2,8,25.6,15.3
5/20/2026 14:00,121.7,8,25.7,15.1
5/20/2026 15:00,121.3,8,26.2,14.6
5/20/2026 16:00,123.2,8.1,26.5,14.5
5/20/2026 17:00,126.4,8.1,27.3,14.1
5/20/2026 18:00,124.6,8,27.3,14.1
5/20/2026 19:00,122.6,8,27.1,14.2
5/20/2026 20:00,128.4,8,28.8,13.2
5/20/2026 21:00,131.3,8,29.7,12.4
5/20/2026 22:00,116.7,8,27,14.1
5/20/2026 23:00,120.5,8,27.8,13.4
5/21/2026 0:00,123.7,8,28.3,13.1
5/21/2026 1:00,127.7,8,29.6,12.5
5/21/2026 2:00,128.7,8,30,12.2
5/21/2026 3:00,131.5,8,30.3,11.9
5/21/2026 4:00,121.5,8,28.1,13.1
5/21/2026 5:00,123.3,8,28.6,13
5/21/2026 6:00,111.3,8,26.5,14
5/21/2026 7:00,108.1,8,26.7,14.1
5/21/2026 8:00,110.8,8,26.1,14.4
5/21/2026 9:00,113.4,8,25.5,14.6
5/21/2026 10:00,115.9,8,25.6,14.7
5/21/2026 11:00,118.5,8,25.6,14.8
5/21/2026 12:00,116.4,8,24.6,15.4
5/21/2026 13:00,116.5,8,24.7,15.4
5/21/2026 14:00,116.9,8,25.1,15
5/21/2026 15:00,119.2,8,25.8,14.8
5/21/2026 16:00,121.3,8,26.1,14.7
5/21/2026 17:00,116.8,8,25.6,15.2
5/21/2026 18:00,125.2,8,27.9,14.1
5/21/2026 19:00,132.3,8,30,12.5
5/21/2026 20:00,129.2,8,30.2,12.2
5/21/2026 21:00,127.8,8,30.3,12.1
5/21/2026 22:00,128.7,8,30.2,12.2
5/21/2026 23:00,122.4,8,28,13.6
5/22/2026 0:00,123.4,8,28,13.5
5/22/2026 1:00,124.1,8,28.2,13.5
5/22/2026 2:00,130.3,8,30.5,11.9
5/22/2026 3:00,127.5,8,30.3,12.1
5/22/2026 4:00,128,8,30.1,12.1
5/22/2026 5:00,124.8,8,29.4,12.4
5/22/2026 6:00,120.9,8,28.3,13.2
5/22/2026 7:00,114,8,25.9,14.2
5/22/2026 8:00,114.5,8,26.7,14.1
5/22/2026 9:00,111.6,8,25.6,14.5
5/22/2026 10:00,107.1,8,24,15.1
5/22/2026 11:00,108.5,8,23.7,15.2
5/22/2026 12:00,111,8,23.6,15.4
5/22/2026 13:00,113.8,8,23.5,15.6
5/22/2026 14:00,118.8,8,25.3,14.8
5/22/2026 15:00,124.4,8,26.6,14.4
5/22/2026 16:00,123.6,8,26,14.7
5/22/2026 17:00,125.5,8,27.5,13.9
5/22/2026 18:00,126.1,8,28.4,13.4
5/22/2026 19:00,130.1,8,29.9,12.5
5/22/2026 20:00,125.5,8,29.1,13
5/22/2026 21:00,125.5,8,30.1,12.3
5/22/2026 22:00,127.4,8,30.2,12.1
5/22/2026 23:00,122.4,8,30.2,12.3
5/23/2026 0:00,128.1,8,30.5,11.9
5/23/2026 1:00,122,8,28.3,13.4
5/23/2026 2:00,124.5,8,29,12.9
5/23/2026 3:00,123.4,8,28.9,12.8
5/23/2026 4:00,121.2,8,30.1,12.2
5/23/2026 5:00,123.1,8,30.3,12
5/23/2026 6:00,125.4,8,30.8,11.5
5/23/2026 7:00,120.7,8,30.7,11.6
5/23/2026 8:00,122.3,8,29.8,12.1
5/23/2026 9:00,122.2,8,28.2,13.3
5/23/2026 10:00,120.7,8,28.6,13.2
5/23/2026 11:00,114.4,8,25.5,14.8
5/23/2026 12:00,115.5,8,25.4,15.2
5/23/2026 13:00,116.2,8,25.7,15.8
5/23/2026 14:00,115.8,8,25.6,16.3
5/23/2026 15:00,120.5,8,26.3,15.9
5/23/2026 16:00,119.5,8,26.7,15.6
5/23/2026 17:00,119.2,8,26.9,15.5
5/23/2026 18:00,122.8,8,28.3,14.3
5/23/2026 19:00,122.2,8,28.4,14.3
5/23/2026 20:00,117.2,8,27.5,15.1
5/23/2026 21:00,115.4,8,27.7,14.9
5/23/2026 22:00,111,8,27.2,15.3
5/23/2026 23:00,116.5,8,27.8,14.7
5/24/2026 0:00,105.6,8,27.2,15.2
5/24/2026 1:00,101.6,7.9,27.5,14.8
5/24/2026 2:00,108.4,8,27.6,14.7
5/24/2026 3:00,115.9,8,27.9,14.3
5/24/2026 4:00,113.9,8,28.4,13.6
5/24/2026 5:00,115.4,8,28.9,13.1
5/24/2026 6:00,112.9,8,28.2,13.8
5/24/2026 7:00,111.2,8,27.3,14.5
5/24/2026 8:00,109.2,8,27.6,14.3
5/24/2026 9:00,114.1,8,27.5,14.4
5/24/2026 10:00,113.6,8,27.2,14.6
5/24/2026 11:00,114.9,8,26.6,15
5/24/2026 12:00,115.4,8,26.8,15
5/24/2026 13:00,120.9,8,26.6,15.3
5/24/2026 14:00,121.8,8,26.4,15.4
5/24/2026 15:00,118.7,8,26.5,15.3
5/24/2026 16:00,118.6,8,26.5,15.2
5/24/2026 17:00,117.2,8,26.5,15.3
5/24/2026 18:00,115.1,8,27,14.7
5/24/2026 19:00,111.7,8,26.8,14.8
